SMILES	Solvent	Reactivity Parameters	SMARTS
C(C)(C)[Si](OC(=C)C)(C(C)C)C(C)C	dichloromethane	N Parameter: 5.38 s N Parameter: 0.85	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC(=C)C=C)(C)C	dichloromethane	N Parameter: 4.83 s N Parameter: 0.90	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](OC=1OC=CC1)(C)C	dichloromethane	N Parameter: 7.22 s N Parameter: 1.00	[$([OX2]([c])[SiX4H0])][c]1[oX2][c][c][c]1
C[Si](OC(=C)C)(C)C	dichloromethane	N Parameter: 5.41 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)[Si](OC(=C)C)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 4.46 s N Parameter: 0.90	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
FC1=C(C(=C(C(=C1[Si](OC(=C)C)(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F	dichloromethane	N Parameter: 0.58 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)[Si](OC(=C)C)([Si](C)(C)C)[Si](C)(C)C	dichloromethane	N Parameter: 6.04 s N Parameter: 0.82	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
CC(=CO[Si](C)(C)C)C	dichloromethane	N Parameter: 3.94 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
FC(C(=C)O[Si](C)(C)C)(F)F	dichloromethane	N Parameter: -2.94 s N Parameter: 1.11	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
CC(C(=C)O[Si](C)(C)C)(C)C	dichloromethane	N Parameter: 3.78 s N Parameter: 0.79	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](C)(C)OC1=CCc2ccccc12	MeCN	N Parameter: 7.32 s N Parameter: 0.82	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
CC(C(=C)O[Si](C)(C)C)C	dichloromethane	N Parameter: 5.41 s N Parameter: 0.90	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C[Si](O\C(=C/C)\CC)(C)C	dichloromethane	N Parameter: 5.58 s N Parameter: 1.00	[$([OX2]([CX3])[SiX4H0])][CX3H]=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([#6])=[CX3]
C(C)OC(=C)OCC	dichloromethane	N Parameter: 9.81 s N Parameter: 0.81	[$([OX2]([CX3])[CX4,c])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3]
C(CCC)OC(=C)O[Si](C)(C)C(C)(C)C	dichloromethane	N Parameter: 10.32 s N Parameter: 0.79	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C(CCC)OC(=C)O[Si](C)(C)C	dichloromethane	N Parameter: 10.21 s N Parameter: 0.82	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
COC(=C(C)C)O[Si](C)(C)C	dichloromethane	N Parameter: 9.00 s N Parameter: 0.98	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
COC(=C(C)C)O[Si](C)(C)C	MeCN	N Parameter: 9.11 s N Parameter: 0.88	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
O(C1=CC=CC=C1)C(=C)O[Si](C)(C)C	dichloromethane	N Parameter: 8.23 s N Parameter: 0.81	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C[Si](OC=1OCCCC1)(C)C	dichloromethane	N Parameter: 10.61 s N Parameter: 0.86	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C[Si](OC=1OCCCC1)(C)C	MeCN	N Parameter: 10.52 s N Parameter: 0.78	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
CC=1CCOC1O[Si](C)(C)C	dichloromethane	N Parameter: 11.50 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C[Si](OC1=CCCO1)(C)C	dichloromethane	N Parameter: 12.56 s N Parameter: 0.70	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C[Si](OC1=CCCO1)(C)C	MeCN	N Parameter: 12.34 s N Parameter: 0.72	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C1(=CC=CC=C1)[Si](OC1=CCCO1)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 11.28 s N Parameter: 0.91	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
FC1=C(C(=C(C(=C1[Si](OC1=CCCO1)(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F	dichloromethane	N Parameter: 8.16 s N Parameter: 0.67	[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[CX4,c])])=[CX3].[$([OX2]([CX3])[SiX4H0])][CX3]([$([OX2]([CX3])[SiX4H0])])=[CX3]
C(C1=CC=CC=C1)[C@H]1C(N([C@H](N1\C=C\C1=CC=CC=C1)C(C)(C)C)C)=O	MeCN	N Parameter: 5.80 s N Parameter: 0.87	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C[Si](ON(O[Si](C)(C)C)C=CC1=CC=CC=C1)(C)C	dichloromethane	N Parameter: 4.80 s N Parameter: 0.86	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CCCCC1)N1[C@@H](CCC1)C(=O)[O-]	MeCN	N Parameter: 18.86 s N Parameter: 0.70	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)/C(=C\C1=CC=CC=C1)/N1CCCCC1	MeCN	N Parameter: 9.94 s N Parameter: 0.86	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)/C(=C\C1=CC=CC=C1)/N1CCCC1	MeCN	N Parameter: 11.66 s N Parameter: 0.82	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
COC1=CC=C(C=C1)/C=C(\C1=CC=CC=C1)/N1CCCC1	MeCN	N Parameter: 11.99 s N Parameter: 0.84	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
[N+](=O)([O-])C1=CC=C(C=C1)/C=C(\C1=CC=CC=C1)/N1CCCC1	MeCN	N Parameter: 10.42 s N Parameter: 0.82	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C\C=C\N1CCOCC1	dichloromethane	N Parameter: 12.06 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1C(CCC1)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 11.77 s N Parameter: 0.98	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1C(CCC1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1	dichloromethane	N Parameter: 10.19 s N Parameter: 1.06	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1CCCC1	dichloromethane	N Parameter: 12.26 s N Parameter: 0.93	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1CCCC1	MeCN	N Parameter: 13.87 s N Parameter: 0.76	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)/C(=C\C1=CC=CC=C1)/N1CCOCC1	MeCN	N Parameter: 8.78 s N Parameter: 0.83	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)\C(=C/C1=CC=C(C#N)C=C1)\N1CCCC1	MeCN	N Parameter: 10.63 s N Parameter: 0.84	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1CCOCC1	MeCN	N Parameter: 11.66 s N Parameter: 0.83	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1CCOCC1	dichloromethane	N Parameter: 10.76 s N Parameter: 0.87	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(=C\C1=CC=CC=C1)/N1CCCCC1	MeCN	N Parameter: 13.84 s N Parameter: 0.73	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)C([C@H]1N(CCC1)\C=C\C1=CC=CC=C1)(O[Si](C)(C)C)C1=CC=CC=C1	MeCN	N Parameter: 10.56 s N Parameter: 1.01	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(C1=CC=CC=C1)[C@H]1C(N(C2(N1\C=C\C1=CC=CC=C1)CCCC2)C)=O	MeCN	N Parameter: 7.92 s N Parameter: 1.07	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C(C1=CC=CC=C1)[C@H]1C(N(C(N1\C=C\C1=CC=CC=C1)(C)C)C)=O	MeCN	N Parameter: 7.20 s N Parameter: 1.14	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C\C=C/N1CCOCC1	dichloromethane	N Parameter: 12.26 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CCCCC1)N1CCN(CC1)C	dichloromethane	N Parameter: 12.51 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCC(=CC1)N1CCOCC1	dichloromethane	N Parameter: 11.40 s N Parameter: 0.83	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CC(=CC1)N1CCOCC1	dichloromethane	N Parameter: 13.41 s N Parameter: 0.82	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCC(=CC1)N1CCCCC1	dichloromethane	N Parameter: 13.36 s N Parameter: 0.81	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCC(=CC1)N1CCCCC1	MeCN	N Parameter: 14.02 s N Parameter: 0.76	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CC(=CC1)N1CCCC1	dichloromethane	N Parameter: 15.06 s N Parameter: 0.82	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCN(C1)C1=CCCCC1	dichloromethane	N Parameter: 14.91 s N Parameter: 0.86	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCN(C1)C1=CCCCC1	MeCN	N Parameter: 16.42 s N Parameter: 0.70	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1CCN(C1)C1=CCCC1	dichloromethane	N Parameter: 15.91 s N Parameter: 0.86	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
C1(=CC=CC=C1)C#CN1C(CCC1)=O	dichloromethane	N Parameter: 3.12 s N Parameter: 0.85	[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3]([CX4,c])[CX2]#[CX2].[$([CX3]([NX3])=[OX1]),$([S]([NX3])=[OX1])][NX3H][CX2]#[CX2]
CN(C1=CCCCC1)C1=CC=CC=C1	dichloromethane	N Parameter: 10.73 s N Parameter: 0.81	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CN(C1=CCCC1)C1=CC=CC=C1	dichloromethane	N Parameter: 12.90 s N Parameter: 0.79	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CN(C1=CCN(C)CC1)C1=CC=CC=C1	dichloromethane	N Parameter: 12.03 s N Parameter: 0.80	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
N1(CCCC1)C1=CCCC2=CC=CC=C12	MeCN	N Parameter: 14.09 s N Parameter: 0.66	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CC1(N(C(C(=N1)SCC#N)(C)C)C=CC)C	MeCN	N Parameter: 9.25 s N Parameter: 0.84	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
CC1(N(C(C(=N1)SCC#N)(C)C)C=CC1=CC=CC=C1)C	dichloromethane	N Parameter: 7.06 s N Parameter: 1.11	[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c,N,O,P,S,Se])[CX4,c]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3H]=[CX3].[$([NX3H]([CX3])[CX4,c]),$([NX3]([CX3])([CX4,c])[CX4,c,N,O,P,S,Se]),$([NX3]([CX3])([OX2][SiX4H0])[OX2][SiX4H0])][CX3]([#6])=[CX3]
